STA;SR1;SD32;IR1;ID259;SA715;SB0;CD130;TI126;NO1;RL0;RR0;GX-260;GY-100;GZ-73;END;
STA;SR21;SD151;IR21;ID165;SA764;SB33;CD135;TI257;NO2;RL0;RR0;GX74;GY17;GZ-45;END;
STA;SR41;SD180;IR41;ID62;SA819;SB5;CD134;TI387;NO3;RL0;RR0;GX-41;GY-253;GZ4;END;
STA;SR61;SD231;IR61;ID129;SA805;SB3;CD137;TI516;NO4;RL0;RR0;GX-51;GY146;GZ-21;END;
STA;SR81;SD113;IR81;ID58;SA774;SB0;CD132;TI645;NO5;RL0;RR0;GX-22;GY-74;GZ-63;END;
STA;SR101;SD203;IR101;ID37;SA731;SB2;CD132;TI774;NO6;RL0;RR0;GX60;GY84;GZ-126;END;
STA;SR121;SD180;IR121;ID92;SA725;SB5;CD133;TI903;NO7;RL0;RR0;GX18;GY-698;GZ15;END;
STA;SR141;SD264;IR141;ID186;SA725;SB4;CD130;TI1032;NO8;RL0;RR0;GX-9;GY-187;GZ48;END;
STA;SR161;SD54;IR161;ID217;SA744;SB12;CD133;TI1162;NO9;RL0;RR0;GX-160;GY-614;GZ-29;END;
STA;SR179;SD38;IR179;ID257;SA732;SB2;CD131;TI1292;NO10;RL0;RR0;GX-168;GY-24;GZ-44;END;
STA;SR159;SD36;IR159;ID249;SA756;SB0;CD137;TI1421;NO11;RL0;RR0;GX10;GY-4;GZ32;END;
STA;SR139;SD86;IR139;ID184;SA765;SB5;CD135;TI1550;NO12;RL0;RR0;GX31;GY-50;GZ61;END;
STA;SR119;SD383;IR119;ID134;SA799;SB0;CD136;TI1679;NO13;RL0;RR0;GX-129;GY-793;GZ-1;END;
STA;SR99;SD182;IR99;ID54;SA807;SB9;CD137;TI1809;NO14;RL0;RR0;GX111;GY106;GZ-181;END;
STA;SR79;SD338;IR79;ID85;SA828;SB18;CD134;TI1939;NO15;RL0;RR0;GX48;GY43;GZ-43;END;
STA;SR59;SD186;IR59;ID88;SA826;SB0;CD141;TI2068;NO16;RL0;RR0;GX107;GY-139;GZ71;END;
STA;SR39;SD58;IR39;ID170;SA811;SB2;CD131;TI2198;NO17;RL0;RR0;GX38;GY64;GZ-59;END;
STA;SR19;SD42;IR19;ID220;SA814;SB1;CD131;TI2327;NO18;RL0;RR0;GX-2;GY493;GZ-126;END;
STA;SR2;SD42;IR2;ID220;SA770;SB26;CD129;TI2456;NO19;RL0;RR0;GX-145;GY-81;GZ-75;END;
STA;SR22;SD55;IR22;ID227;SA795;SB2;CD131;TI2585;NO20;RL0;RR0;GX-175;GY-649;GZ-53;END;
STA;SR42;SD45;IR42;ID187;SA787;SB0;CD133;TI2715;NO21;RL0;RR0;GX104;GY-192;GZ23;END;
STA;SR62;SD194;IR62;ID148;SA758;SB0;CD132;TI2844;NO22;RL0;RR0;GX64;GY-81;GZ14;END;
STA;SR82;SD181;IR82;ID58;SA748;SB2;CD134;TI2973;NO23;RL0;RR0;GX62;GY118;GZ-103;END;
STA;SR102;SD195;IR102;ID83;SA722;SB8;CD136;TI3103;NO24;RL0;RR0;GX-30;GY-229;GZ-113;END;
STA;SR122;SD182;IR122;ID106;SA719;SB0;CD135;TI3233;NO25;RL0;RR0;GX9;GY173;GZ39;END;
STA;SR142;SD182;IR142;ID169;SA727;SB0;CD132;TI3363;NO26;RL0;RR0;GX-56;GY67;GZ-40;END;
STA;SR162;SD39;IR162;ID217;SA740;SB0;CD133;TI3493;NO27;RL0;RR0;GX94;GY446;GZ-16;END;
STA;SR178;SD35;IR178;ID256;SA742;SB4;CD131;TI3624;NO28;RL0;RR0;GX-23;GY19;GZ-40;END;
STA;SR158;SD36;IR158;ID240;SA767;SB3;CD134;TI3755;NO29;RL0;RR0;GX45;GY122;GZ-102;END;
STA;SR138;SD85;IR138;ID198;SA755;SB3;CD137;TI3885;NO30;RL0;RR0;GX144;GY149;GZ-29;END;
STA;SR118;SD181;IR118;ID110;SA800;SB1;CD137;TI4015;NO31;RL0;RR0;GX50;GY-158;GZ-68;END;
STA;SR98;SD187;IR98;ID63;SA789;SB0;CD132;TI4145;NO32;RL0;RR0;GX-24;GY-160;GZ-86;END;
STA;SR78;SD116;IR78;ID80;SA832;SB1;CD136;TI4274;NO33;RL0;RR0;GX158;GY63;GZ31;END;
STA;SR58;SD115;IR58;ID118;SA816;SB0;CD138;TI4403;NO34;RL0;RR0;GX167;GY423;GZ-41;END;
STA;SR38;SD47;IR38;ID213;SA807;SB0;CD129;TI4533;NO35;RL0;RR0;GX-157;GY-257;GZ-151;END;
STA;SR18;SD46;IR18;ID213;SA804;SB0;CD134;TI4663;NO36;RL0;RR0;GX-89;GY355;GZ-109;END;
STA;SR3;SD42;IR3;ID228;SA769;SB2;CD133;TI4793;NO37;RL0;RR0;GX-45;GY-10;GZ194;END;
STA;SR23;SD42;IR23;ID223;SA792;SB0;CD130;TI4922;NO38;RL0;RR0;GX-11;GY-260;GZ-68;END;
STA;SR43;SD40;IR43;ID233;SA770;SB3;CD130;TI5051;NO39;RL0;RR0;GX43;GY-53;GZ-27;END;
STA;SR63;SD211;IR63;ID123;SA756;SB0;CD129;TI5180;NO40;RL0;RR0;GX7;GY-394;GZ-78;END;
STA;SR83;SD119;IR83;ID50;SA753;SB0;CD131;TI5309;NO41;RL0;RR0;GX1;GY27;GZ-165;END;
STA;SR103;SD355;IR103;ID77;SA740;SB0;CD131;TI5438;NO42;RL0;RR0;GX-53;GY-235;GZ-86;END;
