STA;SR93;SD121;34;TI137193;NO337;END;
STA;SR40;SD42;IR40;ID183;SA213;SB2;CD131;TI136785;NO336;END;
STA;SR0;SD29;IR0;ID231;SA191;SB2;CD134;TI137193;NO337;END;
STA;SR40;SD42;IR40;ID183;SA213;SB2;CD131;TI136785;NO336;END;
STA;SR0;SD29;IR0;ID231;SA191;SB2;CD134;TI137193;NO337;END;
STA;SR40;SD42;IR40;ID183;SA213;SB2;CD131;TI136785;NO336;END;
STA;SR0;SD29;IR0;ID231;SA191;SB2;CD134;TI137193;NO337;END;
STA;SR20;SD41;IR20;ID224;SA228;SB0;CD139;TI137600;NO338;END;
STA;SR40;SD44;IR40;ID183;SA219;SB2;CD133;TI138007;NO339;END;
STA;SR60;SD11;IR60;ID127;SA156;SB1;CD132;TI138414;NO340;END;
STA;SR80;SD216;IR80;ID56;SA100;SB0;CD132;TI138821;NO341;END;
STA;SR100;SD187;IR100;ID108;SA134;SB2;CD135;TI139229;NO342;END;
STA;SR120;SD190;IR120;ID91;SA111;SB2;CD134;TI139636;NO343;END;
STA;SR140;SD291;IR140;ID177;SA139;SB1;CD134;TI140043;NO344;END;
STA;SR160;SD53;IR160;ID232;SA195;SB2;CD131;TI140450;NO345;END;
STA;SR180;SD24;IR180;ID199;SA185;SB2;CD135;TI140858;NO346;END;
STA;SR160;SD39;IR160;ID224;SA203;SB1;CD136;TI141265;NO347;END;
STA;SR140;SD370;IR140;ID175;SA186;SB0;CD134;TI141673;NO348;END;
STA;SR120;SD55;IR120;ID88;SA182;SB2;CD133;TI142080;NO349;END;
STA;SR100;SD185;IR100;ID108;SA180;SB0;CD133;TI142487;NO350;END;
STA;SR80;SD186;IR80;ID65;SA147;SB1;CD135;TI142895;NO351;END;
STA;SR60;SD225;IR60;ID124;SA175;SB1;CD132;TI143302;NO352;END;
STA;SR40;SD19;IR40;ID184;SA209;SB5;CD135;TI143709;NO353;END;
STA;SR20;SD40;IR20;ID226;SA217;SB0;CD134;TI144116;NO354;END;
STA;SR1;SD21;IR1;ID232;SA175;SB7;CD135;TI144524;NO355;END;
STA;SR21;SD34;IR21;ID222;SA223;SB0;CD134;TI144930;NO356;END;
STA;SR41;SD44;IR41;ID179;SA217;SB0;CD136;TI145338;NO357;END;
STA;SR61;SD215;IR61;ID128;SA155;SB5;CD130;TI145744;NO358;END;
STA;SR81;SD184;IR81;ID36;SA107;SB0;CD135;TI146152;NO359;END;
STA;SR101;SD191;IR101;ID49;SA107;SB1;CD131;TI146560;NO360;END;
STA;SR121;SD173;IR121;ID109;SA107;SB4;CD134;TI146966;NO361;END;
STA;SR141;SD362;IR141;ID193;SA139;SB5;CD135;TI147374;NO362;END;
STA;SR161;SD39;IR161;ID226;SA205;SB3;CD133;TI147781;NO363;END;
STA;SR179;SD39;IR179;ID192;SA183;SB0;CD136;TI148189;NO364;END;
STA;SR159;SD40;IR159;ID229;SA220;SB1;CD132;TI148596;NO365;END;
STA;SR139;SD22;IR139;ID177;SA182;SB2;CD143;TI149003;NO366;END;
STA;SR119;SD186;IR119;ID61;SA254;SB6;CD137;TI149410;NO367;END;
STA;SR99;SD186;IR99;ID94;SA279;SB1;CD132;TI149818;NO368;END;
STA;SR79;SD184;IR79;ID41;SA254;SB0;CD130;TI150225;NO369;END;
STA;SR59;SD194;IR59;ID118;SA324;SB9;CD132;TI150632;NO370;END;
STA;SR39;SD41;IR39;ID175;SA352;SB0;CD130;TI151040;NO371;END;
STA;SR19;SD41;IR19;ID214;SA351;SB4;CD134;TI151447;NO372;END;
STA;SR2;SD41;IR2;ID218;SA317;SB2;CD134;TI151854;NO373;END;
STA;SR22;SD41;IR22;ID210;SA386;SB0;CD132;TI152261;NO374;END;
STA;SR42;SD43;IR42;ID170;SA370;SB9;CD136;TI152668;NO375;END;
STA;SR62;SD221;IR62;ID114;SA292;SB0;CD128;TI153075;NO376;END;
STA;SR82;SD166;IR82;ID41;SA269;SB0;CD122;TI153483;NO377;END;
STA;SR102;SD382;IR102;ID90;SA281;SB0;CD125;TI153889;NO378;END;
STA;SR122;SD178;IR122;ID37;SA203;SB27;CD127;TI154297;NO379;END;
STA;SR142;SD280;IR142;ID166;SA227;SB0;CD136;TI154704;NO380;END;
STA;SR162;SD271;IR162;ID218;SA254;SB0;CD126;TI155112;NO381;END;
STA;SR178;SD37;IR178;ID242;SA311;SB0;CD124;TI155520;NO382;END;
