SensorSweep starting
STA;SR34;SD10;IR34;ID23;SA7;SB8;END;
STA;SR14;SD129;IR14;ID106;SA0;SB0;END;
STA;SR7;SD129;IR7;ID159;SA27;SB2;END;
STA;SR27;SD73;IR27;ID28;SA0;SB8;END;
STA;SR47;SD22;IR47;ID35;SA0;SB0;END;
STA;SR67;SD38;IR67;ID59;SA4;SB3;END;
STA;SR87;SD60;IR87;ID86;SA0;SB2;END;
STA;SR107;SD68;IR107;ID82;SA0;SB0;END;
STA;SR127;SD500;IR127;ID97;SA0;SB0;END;
STA;SR147;SD20;IR147;ID112;SA0;SB1;END;
STA;SR167;SD38;IR167;ID264;SA0;SB8;END;
STA;SR173;SD27;IR173;ID204;SA13;SB0;END;
STA;SR153;SD33;IR153;ID146;SA0;SB0;END;
STA;SR133;SD213;IR133;ID100;SA0;SB0;END;
STA;SR113;SD88;IR113;ID68;SA6;SB7;END;
STA;SR93;SD66;IR93;ID96;SA11;SB3;END;
STA;SR73;SD35;IR73;ID81;SA6;SB3;END;
STA;SR53;SD20;IR53;ID39;SA0;SB7;END;
STA;SR33;SD27;IR33;ID24;SA0;SB0;END;
STA;SR13;SD132;IR13;ID153;SA0;SB0;END;
STA;SR8;SD132;IR8;ID146;SA0;SB3;END;
STA;SR28;SD137;IR28;ID27;SA11;SB30;END;
STA;SR48;SD20;IR48;ID35;SA27;SB0;END;
STA;SR68;SD48;IR68;ID64;SA0;SB0;END;
STA;SR88;SD55;IR88;ID93;SA0;SB0;END;
STA;SR108;SD50;IR108;ID78;SA3;SB0;END;
STA;SR128;SD33;IR128;ID100;SA21;SB0;END;
STA;SR148;SD30;IR148;ID107;SA0;SB0;END;
STA;SR168;SD78;IR168;ID328;SA0;SB0;END;
STA;SR172;SD439;IR172;ID328;SA20;SB0;END;
STA;SR152;SD22;IR152;ID173;SA9;SB10;END;
STA;SR132;SD43;IR132;ID100;SA0;SB24;END;
STA;SR112;SD111;IR112;ID88;SA0;SB0;END;
STA;SR92;SD17;IR92;ID23;SA7;SB0;END;
STA;SR72;SD20;IR72;ID31;SA16;SB0;END;
STA;SR52;SD20;IR52;ID37;SA1;SB23;END;
STA;SR32;SD132;IR32;ID25;SA0;SB0;END;
STA;SR12;SD129;IR12;ID153;SA0;SB28;END;
STA;SR9;SD129;IR9;ID146;SA0;SB14;END;
STA;SR29;SD25;IR29;ID26;SA28;SB16;END;
STA;SR49;SD20;IR49;ID39;SA5;SB23;END;
STA;SR69;SD17;IR69;ID54;SA14;SB0;END;
STA;SR89;SD17;IR89;ID21;SA15;SB0;END;
