STA;SR5;SD43;IR5;ID223;SA215;SB2;CD121;TI1761917;NO4321;RL0;RR0;END;
STA;SR5;SD43;IR5;ID223;SA215;SB2;CD121;TI1761917;NO4321;RL0;RR0;END;
STA;SR1;SD43;IR1;ID223;SA205;SB6;CD122;TI404;NO1;RL0;RR1;END;
STA;SR21;SD42;IR21;ID219;SA231;SB2;CD125;TI812;NO2;RL0;RR0;END;
STA;SR41;SD45;IR41;ID177;SA196;SB2;CD126;TI1219;NO3;RL0;RR0;END;
STA;SR61;SD192;IR61;ID122;SA156;SB0;CD121;TI1626;NO4;RL0;RR0;END;
STA;SR81;SD183;IR81;ID32;SA104;SB2;CD125;TI2033;NO5;RL0;RR0;END;
STA;SR101;SD182;IR101;ID97;SA127;SB1;CD123;TI2440;NO6;RL0;RR0;END;
STA;SR121;SD145;IR121;ID105;SA119;SB2;CD126;TI2847;NO7;RL0;RR0;END;
STA;SR141;SD283;IR141;ID190;SA150;SB0;CD124;TI3254;NO8;RL0;RR0;END;
STA;SR161;SD38;IR161;ID245;SA209;SB2;CD125;TI3661;NO9;RL0;RR0;END;
STA;SR179;SD39;IR179;ID276;SA226;SB2;CD121;TI4068;NO10;RL0;RR0;END;
STA;SR159;SD39;IR159;ID238;SA237;SB1;CD124;TI4475;NO11;RL0;RR0;END;
STA;SR139;SD388;IR139;ID184;SA193;SB1;CD124;TI4883;NO12;RL0;RR0;END;
STA;SR119;SD191;IR119;ID108;SA184;SB1;CD124;TI5292;NO13;RL0;RR0;END;
STA;SR99;SD183;IR99;ID65;SA143;SB1;CD125;TI5700;NO14;RL0;RR0;END;
STA;SR79;SD169;IR79;ID67;SA147;SB1;CD119;TI6107;NO15;RL0;RR0;END;
STA;SR59;SD192;IR59;ID120;SA188;SB0;CD124;TI6514;NO16;RL0;RR0;END;
STA;SR39;SD44;IR39;ID172;SA190;SB0;CD122;TI6921;NO17;RL0;RR0;END;
STA;SR19;SD42;IR19;ID208;SA220;SB0;CD121;TI7328;NO18;RL0;RR0;END;
STA;SR2;SD41;IR2;ID211;SA206;SB0;CD122;TI7735;NO19;RL0;RR0;END;
STA;SR22;SD41;IR22;ID208;SA226;SB0;CD125;TI8142;NO20;RL0;RR0;END;
STA;SR42;SD43;IR42;ID168;SA206;SB0;CD124;TI8549;NO21;RL0;RR0;END;
STA;SR62;SD192;IR62;ID107;SA153;SB0;CD125;TI8956;NO22;RL0;RR0;END;
STA;SR82;SD182;IR82;ID3;SA112;SB0;CD126;TI9364;NO23;RL0;RR0;END;
STA;SR102;SD181;IR102;ID8;SA102;SB0;CD126;TI9772;NO24;RL0;RR0;END;
STA;SR122;SD180;IR122;ID77;SA253;SB0;CD122;TI10179;NO25;RL1;RR0;END;
STA;SR142;SD279;IR142;ID178;SA323;SB0;CD122;TI10587;NO26;RL1;RR1;END;
STA;SR162;SD37;IR162;ID230;SA365;SB7;CD113;TI10994;NO27;RL1;RR1;END;
STA;SR178;SD35;IR178;ID248;SA442;SB2;CD125;TI11401;NO28;RL1;RR1;END;
STA;SR158;SD277;IR158;ID222;SA454;SB0;CD118;TI11808;NO29;RL1;RR1;END;
STA;SR138;SD273;IR138;ID158;SA323;SB23;CD126;TI12215;NO30;RL1;RR1;END;
STA;SR118;SD175;IR118;ID57;SA223;SB7;CD120;TI12623;NO31;RL1;RR2;END;
STA;SR98;SD173;IR98;ID25;SA206;SB0;CD112;TI13030;NO32;RL1;RR1;END;
STA;SR78;SD105;IR78;ID41;SA230;SB0;CD119;TI13437;NO33;RL2;RR1;END;
STA;SR58;SD185;IR58;ID125;SA243;SB0;CD119;TI13845;NO34;RL1;RR1;END;
STA;SR38;SD43;IR38;ID178;SA242;SB0;CD116;TI14253;NO35;RL1;RR2;END;
STA;SR18;SD41;IR18;ID210;SA329;SB13;CD112;TI14660;NO36;RL1;RR1;END;
STA;SR3;SD41;IR3;ID205;SA304;SB0;CD107;TI15067;NO37;RL1;RR1;END;
STA;SR23;SD41;IR23;ID207;SA280;SB19;CD118;TI15474;NO38;RL2;RR1;END;
STA;SR43;SD43;IR43;ID181;SA234;SB0;CD117;TI15881;NO39;RL1;RR2;END;
STA;SR63;SD105;IR63;ID114;SA225;SB0;CD111;TI16288;NO40;RL1;RR1;END;
STA;SR83;SD97;IR83;ID10;SA246;SB0;CD112;TI16695;NO41;RL1;RR1;END;
STA;SR103;SD160;IR103;ID72;SA278;SB19;CD107;TI17102;NO42;RL1;RR1;END;
STA;SR123;SD158;IR123;ID57;SA283;SB3;CD114;TI17509;NO43;RL1;RR1;END;
STA;SR143;SD262;IR143;ID182;SA295;SB17;CD117;TI17916;NO44;RL1;RR1;END;
STA;SR163;SD37;IR163;ID228;SA259;SB14;CD110;TI18325;NO45;RL2;RR1;END;
